symbol,meta,mass_num,is_stable,half_life_s,decay_const,decay_unc
Hf,,175,False,6048000.0,1.146076687433772e-07,3.2745048212393484e-09
Yb,,175,False,361583.99999999994,1.9169741486347443e-06,4.580583389808231e-10
Lu,,176,False,1.196e+18,5.796e-19,4.6e-21
Lu,m,176,False,13086.0,5.297e-05,1.7e-07
Lu,,177,False,574067.52,1.2074314543347536e-06,1.6355196317163258e-10
Lu,m,177,False,13859000.0,5.002e-08,9e-11
Ta,,178,False,557.4,0.001244,5e-06
W,,178,False,1866000.0,3.71e-07,5e-09
Ta,,179,False,57433652.64,1.2068659204119623e-08,1.9893394292504874e-10
Hf,,181,False,3662496.0,1.8925540957858937e-07,2.6787743747854125e-10
W,,181,False,10471680.0,6.619254795409574e-08,1.0922862698695668e-10
Ta,,182,False,9902304.0,6.999857614550566e-08,7.939808828998985e-11
Ta,m,182,False,950.4,0.0007293215283669458,4.604302578074153e-06
W,,183,False,4.10240038e+26,1.6896136806616e-27,
W,m,183,False,5.3,0.1307824868981029,0.001974075273933629
Re,,184,False,3283000.0,2.111e-07,2.8e-09
Re,m,184,False,14600000.0,4.75e-08,2.2e-09
Os,,185,False,8087000.0,8.571e-08,4.6e-10
W,,185,False,6488639.999999999,1.0682472452778169e-07,4.2672992487795623e-10
W,m,185,False,100.19999999999999,0.006917636532534385,0.00012426891974612667
Re,,186,False,321287.04,2.1574078448976507e-06,9.862833690975118e-10
Re,,187,False,1.357e+18,5.11e-19,1.5e-20
W,,187,False,85390.0,8.117e-06,2.1e-08
Re,,188,False,61218.0,1.1322604145185162e-05,2.6633588109815144e-09
Re,m,188,False,1116.0,0.0006211,3.3e-06
W,,188,False,6028992.0,1.1496899988587567e-07,1.9771109180718086e-10
Ir,m,191,False,4.899,0.1414874832741264,0.0006642604848550536
Os,,191,False,1331000.0,5.209e-07,3.4e-09
Pt,,191,False,242100.0,2.863e-06,2.6e-08
Ir,,192,False,6378652.8,1.0866670475620578e-07,1.9134830913225177e-11
Os,,193,False,108397.0,6.3945e-06,2e-09
Pt,,193,False,1577847600.0,4.392991950299543e-10,5.2715903403594514e-11
Pt,m,193,False,374112.0,1.8527798642116406e-06,1.2836811992228457e-08
Ir,,194,False,69480.0,9.976211579734389e-06,5.169021543903829e-08
Au,,195,False,15958079.999999998,4.3435499794458064e-08,3.292349740781879e-10
Pt,m,195,False,346464.0,2.0006326214554623e-06,2.4945543908422222e-09
Au,,196,False,532820.16,1.3009026921202555e-06,1.265695268728459e-10
Au,m,197,False,7.73,0.08966975168951426,0.0006960135965550912
Hg,,197,False,230800.0,3.004e-06,9e-09
Hg,m,197,False,85700.0,8.09e-06,7e-08
Pt,,197,False,71609.0,9.6796e-06,9e-10
Pt,m,197,False,5725.0,0.00012108,2.3e-07
Au,,198,False,232787.52000000002,2.9775959663127356e-06,3.315439223151916e-10
Au,,199,False,271209.6,2.5557619662428812e-06,5.6993736106085296e-09
Fr,,200,False,0.049,14.145860827753985,1.154764149204407
Pb,,200,False,77400.0,8.955389929715056e-06,1.666119056691173e-07
Tl,,200,False,93960.0,7.377045344401291e-06,2.8264541549430232e-08
